0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:28 +0900] "GET /node_modules/socket.io/socket.io.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:28 +0900] "GET /JSP/js/chat.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:29 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:30 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:31 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:32 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:33 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:33 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:34 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:35 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:35 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:37 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:37 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:39 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:41 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:42 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:43 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:44 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:45 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:47 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:51 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:55 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:55 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:56 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:57 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:57 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:58 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:11:59 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:00 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:01 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:01 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:21 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:23 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:23 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:23 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:23 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:24 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:24 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:24 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:24 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:25 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:25 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:25 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:25 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:25 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:25 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:26 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:26 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:26 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:26 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:27 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:27 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:27 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:27 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:27 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:28 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:28 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:28 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
